Date,Close,High,Low,Open,Volume,rsi,EMA_SLOW,EMA_FAST,macd,Signal_line,middle_band,upper_band,lower_band,above_bb_high,below_bb_low,TR,+DM,-DM,Smoothed +DM,Smoothed -DM,Smoothed TR,+DI,-DI,DX,ADX,OBV,PVT,Signal Line_PVT,VROC,rolling_min,rolling_max,%K,%D,MA_FAST,MA_SLOW,intraday_momentum,volume_weighted_return,money_flow_volume,upper_shadow_ratio,lower_shadow_ratio,close_position_in_range,day_of_week,month,quarter,day_of_year,week_of_year,is_quarter_end,is_quarter_start,is_last_day_of_month,is_first_day_of_month,days_from_month_start,days_to_month_end
2020-06-29,67.29000091552734,67.33333587646484,63.23466873168945,64.60066986083984,135396000,,67.29000091552734,67.29000091552734,0.0,0.0,,,,0,0,4.098667144775391,0.0,0.0,,,,,,,,0.0,,,,,,,,,,2.6893310546875,,132532932.16525882,0.0006440029772842567,0.020300209694783647,0.989427057796823,0,6,2,181,27,0,0,0,0,28,1
2020-06-30,71.98733520507812,72.51266479492188,66.91533660888672,67.0999984741211,253777500,,67.63795160364222,68.01266772930438,0.37471612566216095,0.07494322513243219,,,,0,0,5.597328186035156,5.179328918457031,0.0,,,,,,,,253777500.0,17715525.87973583,,,,,,,,,4.887336730957031,17715525.87973583,206141618.5271594,0.007297527937021302,0.00256519934628302,0.906146364578753,1,6,2,182,27,1,0,1,0,29,0
2020-07-01,74.64199829101562,75.68866729736328,72.03333282470703,72.19999694824219,199903500,,68.156769876781,69.03256473879841,0.8757948620174147,0.23511355250942872,,,,0,0,3.7013320922851562,3.1760025024414062,0.0,,,,,,,,453681000.0,25087328.720998257,,,,,,,,,2.4420013427734375,7371802.841262424,85422705.03981273,0.01402252123699393,0.002232846484937804,0.7136598521109715,2,7,3,183,27,0,1,0,1,0,30
2020-07-02,80.57733154296875,81.86666870117188,79.04000091552734,81.43199920654297,258751500,,69.07681148168379,70.80868270867077,1.731871226986982,0.5344650874049395,,,,0,0,7.22467041015625,6.178001403808594,0.0,,,,,,,,712432500.0,45662560.05329776,,,,,,,,,-0.8546676635742188,20575231.332299504,22701175.657954358,0.005394438935262699,0.019078946867715746,0.5438667500334496,3,7,3,184,27,0,0,0,0,1,29
2020-07-06,91.43866729736328,91.85266876220705,84.40266418457031,85.11266326904297,308548500,,70.73324524580819,73.98252649154655,3.2492812457383593,1.0774283190716236,,,,0,0,11.275337219238295,9.98600006103517,0.0,,,,,,,,1020981000.0,87253027.13432427,,,,,,,,,6.3260040283203125,41590467.08102651,274256029.1658015,0.004527641062966651,0.007764757573358489,0.944429366455586,0,7,3,188,28,0,0,0,0,5,25
2020-07-07,92.65733337402344,95.3000030517578,89.11399841308594,93.6673355102539,322345500,,72.35725177382413,76.8555737042353,4.498321930411166,1.7616070413395322,,,,0,0,6.186004638671861,3.447334289550753,0.0,,,,,,,,1343326500.0,91549147.55498335,,,,,,,,,-1.0100021362304688,4296120.420659082,46932619.28102343,0.01762048919255221,0.038241279254734785,0.5727986256360568,1,7,3,189,28,0,0,0,0,6,24
2020-07-08,91.05867004394533,94.48400115966795,87.42266845703125,93.66666412353516,244669500,,73.74254201605532,79.04066544880608,5.2981234327507565,2.468910319621777,,,,0,0,7.0613327026367045,0.0,1.6913299560546875,,,,,,,,1098657000.0,87327742.26092376,,,,,,,,,-2.6079940795898295,-4221405.294059584,7299562.4124797,0.008975938651954707,0.039930317286207044,0.5149171884235423,2,7,3,190,28,0,0,0,0,7,23
2020-07-09,92.9520034790039,93.90399932861328,90.08533477783205,93.1326675415039,175764000,,75.16546508738485,81.18087129960574,6.0154062122208956,3.178209498141601,,,,0,0,3.818664550781236,-0.5800018310546733,0.0,,,,,,,,1274421000.0,90982307.583688,,,,,,,,,-0.1806640625,3654565.3227642532,88127813.72270629,0.008298172800553165,0.030840311059147682,0.750699270790464,3,7,3,191,28,0,0,0,0,8,22
2020-07-10,102.97666931152344,103.2613296508789,91.73400115966795,93.06666564941406,350064000,,77.22555428917289,84.53407099374692,7.308516704574032,4.004270939428087,,,,0,0,11.527328491210952,9.357330322265625,0.0,,,,,,,,1624485000.0,128735927.60961674,,,,,,,,,9.910003662109375,37753620.025928736,332774766.19773877,0.0027643187649299037,0.012941421571765326,0.9753056096800256,4,7,3,192,28,0,0,0,0,9,21
2020-07-13,99.8040008544922,119.66600036621094,98.0739974975586,110.5999984741211,584781000,,78.89803181252988,86.88329097232311,7.98525915979323,4.800468583501116,,,,0,0,21.592002868652344,16.40467071533203,0.0,,,,,,,,1039704000.0,110719067.6220548,76114737.15773587,,,,,,86.53840103149415,,-10.795997619628892,-18016859.987561945,-491072870.95976895,0.09083806073465041,0.017334008075312546,0.08012241229571314,0,7,3,195,29,0,0,0,0,12,18
